iter	Passed	Remaining
0	57	56965
1	57	28587
2	57	19123
3	57	14388
4	58	11549
5	58	9657
6	58	8304
7	58	7287
8	59	6498
9	59	5867
10	59	5349
11	59	4916
12	59	4550
13	60	4236
14	60	3964
15	60	3727
16	60	3517
17	61	3331
18	61	3165
19	61	3016
20	61	2881
21	62	2757
22	62	2644
23	62	2542
24	62	2446
25	62	2359
26	63	2278
27	63	2203
28	63	2132
29	63	2067
30	64	2005
31	64	1947
32	64	1894
33	64	1842
34	65	1794
35	65	1748
36	65	1705
37	65	1665
38	66	1626
39	66	1589
40	66	1554
41	66	1521
42	66	1489
43	67	1458
44	67	1429
45	67	1402
46	67	1375
47	68	1349
48	68	1325
49	68	1302
50	68	1279
51	69	1258
52	69	1237
53	69	1217
54	69	1197
55	69	1179
56	70	1161
57	70	1143
58	70	1127
59	70	1110
60	71	1094
61	71	1079
62	71	1065
63	71	1051
64	72	1037
65	72	1023
66	72	1010
67	72	996
68	72	983
69	73	971
70	73	959
71	73	948
72	73	937
73	74	926
74	74	916
75	74	906
76	74	896
77	75	886
78	75	877
79	75	868
80	75	859
81	75	850
82	76	841
83	76	833
84	76	823
85	76	815
86	76	806
87	77	798
88	77	791
89	77	783
90	77	776
91	77	769
92	78	763
93	78	756
94	78	749
95	78	743
96	79	736
97	79	730
98	79	724
99	79	718
100	80	712
101	80	705
102	80	699
103	80	693
104	80	688
105	80	683
106	81	679
107	81	675
108	82	673
109	82	668
110	82	663
111	83	658
112	83	654
113	83	649
114	83	644
115	83	639
116	84	634
117	84	630
118	84	625
119	84	621
120	85	617
121	85	613
122	85	608
123	85	604
124	85	600
125	85	596
126	86	592
127	86	587
128	86	583
129	86	580
130	86	576
131	87	573
132	87	569
133	87	566
134	87	562
135	88	559
136	88	556
137	88	552
138	88	549
139	88	545
140	89	542
141	89	539
142	89	536
143	89	533
144	90	530
145	90	527
146	90	525
147	90	522
148	90	519
149	91	516
150	91	513
151	91	510
152	91	508
153	92	505
154	92	503
155	92	500
156	92	498
157	93	495
158	93	493
159	93	490
160	93	488
161	93	485
162	94	483
163	94	480
164	94	478
165	94	476
166	94	473
167	95	471
168	95	469
169	95	467
170	95	465
171	96	463
172	96	461
173	96	459
174	96	457
175	97	455
176	97	453
177	97	450
178	97	448
179	98	447
180	98	444
181	98	442
182	98	440
183	99	439
184	99	437
185	99	435
186	99	433
187	99	431
188	100	429
189	100	428
190	100	426
191	100	424
192	101	423
193	101	421
194	101	419
195	101	418
196	102	416
197	102	414
198	102	413
199	102	411
200	103	409
201	103	408
202	103	406
203	103	405
204	104	403
205	104	401
206	104	400
207	104	398
208	104	397
209	105	395
210	105	394
211	105	392
212	105	391
213	106	389
214	106	388
215	106	387
216	106	385
217	107	384
218	107	383
219	107	381
220	107	380
221	108	379
222	108	377
223	108	376
224	108	375
225	109	373
226	109	372
227	109	370
228	109	369
229	110	368
230	110	367
231	110	365
232	110	364
233	110	363
234	111	362
235	111	360
236	111	359
237	111	358
238	112	357
239	112	356
240	112	354
241	112	353
242	113	352
243	113	351
244	113	350
245	113	348
246	114	347
247	114	346
248	114	345
249	114	344
250	115	343
251	115	342
252	115	341
253	116	340
254	116	339
255	116	338
256	116	337
257	117	336
258	117	335
259	117	334
260	117	333
261	118	332
262	118	331
263	118	330
264	118	329
265	119	328
266	119	327
267	119	326
268	119	325
269	120	324
270	120	323
271	120	322
272	120	321
273	121	320
274	121	319
275	121	318
276	121	318
277	122	317
278	122	316
279	122	316
280	123	315
281	123	314
282	123	313
283	124	312
284	124	312
285	124	311
286	125	310
287	125	310
288	125	309
289	126	308
290	126	307
291	126	307
292	127	306
293	127	305
294	127	305
295	127	304
296	128	303
297	128	302
298	128	301
299	128	300
300	129	299
301	129	298
302	129	297
303	129	296
304	129	296
305	130	295
306	130	294
307	130	293
308	130	292
309	131	291
310	131	291
311	131	290
312	131	289
313	132	288
314	132	287
315	132	287
316	132	286
317	133	285
318	133	284
319	133	283
320	133	283
321	134	282
322	134	281
323	134	280
324	134	280
325	135	279
326	135	278
327	135	277
328	135	277
329	136	276
330	136	275
331	136	274
332	136	274
333	137	273
334	137	272
335	137	271
336	137	271
337	138	270
338	138	269
339	138	268
340	138	268
341	139	267
342	139	266
343	139	265
344	139	265
345	139	264
346	140	263
347	140	263
348	140	262
349	140	261
350	141	261
351	141	260
352	141	259
353	141	259
354	142	258
355	142	257
356	142	256
357	142	256
358	143	255
359	143	254
360	143	254
361	143	253
362	144	252
363	144	252
364	144	251
365	144	250
366	145	250
367	145	249
368	145	248
369	145	248
370	145	247
371	146	246
372	146	246
373	146	245
374	147	245
375	147	244
376	147	244
377	147	243
378	148	243
379	148	242
380	148	241
381	149	241
382	149	240
383	149	240
384	149	239
385	150	238
386	150	238
387	150	237
388	150	236
389	151	236
390	151	235
391	151	235
392	151	234
393	151	233
394	152	233
395	152	232
396	152	231
397	152	231
398	153	230
399	153	230
400	153	229
401	153	229
402	154	228
403	154	227
404	154	227
405	155	226
406	155	226
407	155	225
408	156	225
409	156	225
410	156	224
411	156	224
412	157	223
413	157	222
414	157	222
415	158	222
416	158	222
417	159	221
418	159	220
419	159	220
420	159	219
421	159	219
422	160	218
423	160	217
424	160	217
425	160	216
426	161	216
427	161	215
428	161	215
429	161	214
430	162	214
431	162	213
432	162	213
433	162	212
434	163	211
435	163	211
436	163	210
437	163	210
438	164	209
439	164	209
440	164	208
441	164	208
442	165	207
443	165	207
444	165	206
445	165	206
446	166	205
447	166	204
448	166	204
449	166	203
450	166	203
451	167	202
452	167	202
453	167	202
454	168	201
455	168	201
456	168	200
457	169	200
458	169	199
459	169	199
460	169	198
461	170	198
462	170	197
463	170	197
464	170	196
465	171	196
466	171	195
467	171	195
468	171	194
469	172	194
470	172	193
471	172	193
472	172	192
473	173	192
474	173	191
475	173	191
476	173	190
477	174	190
478	174	189
479	174	189
480	175	189
481	175	188
482	175	188
483	175	187
484	176	187
485	176	186
486	176	186
487	176	185
488	177	185
489	177	184
490	177	184
491	177	183
492	178	183
493	178	182
494	178	182
495	178	181
