iter	Passed	Remaining
0	59	59243
1	59	29766
2	59	19928
3	60	15021
4	60	12076
5	61	10110
6	61	8697
7	61	7632
8	61	6807
9	62	6141
10	62	5600
11	62	5156
12	62	4773
13	63	4451
14	63	4170
15	63	3920
16	63	3699
17	64	3502
18	64	3327
19	64	3169
20	64	3027
21	65	2897
22	65	2778
23	65	2669
24	65	2569
25	66	2476
26	66	2391
27	66	2313
28	66	2239
29	67	2170
30	67	2105
31	67	2045
32	67	1988
33	68	1936
34	68	1885
35	68	1837
36	68	1793
37	69	1751
38	69	1710
39	69	1672
40	69	1635
41	70	1600
42	70	1568
43	70	1535
44	70	1505
45	71	1475
46	71	1448
47	71	1421
48	71	1395
49	72	1370
50	72	1346
51	72	1323
52	72	1301
53	73	1279
54	73	1259
55	73	1239
56	73	1220
57	73	1201
58	74	1183
59	74	1168
60	74	1153
61	75	1137
62	75	1121
63	75	1106
64	75	1091
65	76	1077
66	76	1063
67	76	1049
68	76	1036
69	77	1023
70	77	1010
71	77	998
72	77	986
73	77	975
74	78	964
75	78	954
76	78	945
77	79	934
78	79	924
79	79	914
80	79	905
81	80	896
82	80	885
83	80	878
84	80	869
85	81	861
86	81	852
87	81	844
88	81	836
89	82	830
90	82	823
91	82	815
92	82	808
93	83	801
94	83	794
95	83	787
96	83	780
97	84	774
98	84	767
99	84	761
100	84	755
101	85	749
102	85	743
103	85	736
104	85	731
105	86	725
106	86	720
107	86	714
108	86	709
109	86	703
110	87	698
111	87	693
112	87	688
113	87	683
114	88	678
115	88	673
116	88	668
117	88	663
118	88	658
119	89	654
120	89	649
121	89	645
122	89	640
123	90	637
124	90	633
125	90	629
126	90	625
127	91	621
128	91	618
129	91	614
130	92	610
131	92	606
132	92	602
133	92	598
134	92	595
135	93	591
136	93	588
137	93	584
138	93	581
139	94	577
140	94	574
141	94	570
142	94	567
143	94	564
144	95	561
145	95	558
146	95	555
147	96	552
148	96	549
149	96	546
150	96	543
151	96	541
152	97	538
153	97	536
154	97	533
155	98	530
156	98	528
157	98	525
158	98	523
159	99	520
160	99	517
161	99	514
162	99	511
163	99	509
164	100	507
165	100	504
166	100	502
167	100	499
168	101	497
169	101	495
170	101	492
171	101	490
172	102	487
173	102	485
174	102	483
175	102	481
176	102	478
177	103	476
178	103	474
179	103	472
180	103	470
181	104	468
182	104	465
183	104	463
184	104	461
185	105	459
186	105	457
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	444
194	107	442
195	107	441
196	107	439
197	108	437
198	108	436
199	108	434
200	108	432
201	108	430
202	109	428
203	109	427
204	109	425
205	110	424
206	110	422
207	110	420
208	110	419
209	111	417
210	111	415
211	111	414
212	111	412
213	112	411
214	112	410
215	112	408
216	112	407
217	113	405
218	113	404
219	113	402
220	113	401
221	114	399
222	114	398
223	114	396
224	114	395
225	114	393
226	115	392
227	115	390
228	115	389
229	115	387
230	116	386
231	116	384
232	116	383
233	116	382
234	117	380
235	117	379
236	117	378
237	117	377
238	117	375
239	118	374
240	118	372
241	118	371
242	118	370
243	119	369
244	119	368
245	119	366
246	119	365
247	120	364
248	120	362
249	120	361
250	120	360
251	121	359
252	121	358
253	121	357
254	121	355
255	122	354
256	122	353
257	122	352
258	122	351
259	122	350
260	123	348
261	123	347
262	123	346
263	123	345
264	124	344
265	124	343
266	124	342
267	124	341
268	125	339
269	125	338
270	125	337
271	125	336
272	126	335
273	126	334
274	126	333
275	126	332
276	126	331
277	127	330
278	127	329
279	127	328
280	127	327
281	128	326
282	128	325
283	128	324
284	128	323
285	129	322
286	130	323
287	130	322
288	130	321
289	130	320
290	131	319
291	131	318
292	131	317
293	131	316
294	132	315
295	132	314
296	132	313
297	132	312
298	133	311
299	133	310
300	133	310
301	133	309
302	133	308
303	134	307
304	134	306
305	134	305
306	134	304
307	135	303
308	135	302
309	135	301
310	136	301
311	136	300
312	136	299
313	136	298
314	137	297
315	137	297
316	137	296
317	137	295
318	137	294
319	138	293
320	138	292
321	138	291
322	138	290
323	139	290
324	139	289
325	139	288
326	139	287
327	140	286
328	140	286
329	140	285
330	140	284
331	140	283
332	141	282
333	141	282
334	141	281
335	141	280
336	142	279
337	142	278
338	142	278
339	142	277
340	143	276
341	143	275
342	143	275
343	143	274
344	144	273
345	144	272
346	144	272
347	144	271
348	145	270
349	145	269
350	145	269
351	145	268
352	146	267
353	146	266
354	146	266
355	146	265
356	147	264
357	147	264
358	147	263
359	147	262
360	147	261
361	148	261
362	148	260
363	148	259
364	148	259
365	149	258
366	149	257
367	149	257
368	149	256
369	150	255
370	150	255
371	150	254
372	150	253
373	151	253
374	151	252
375	151	251
376	152	251
377	152	250
378	152	250
379	152	249
380	153	248
381	153	247
382	153	247
383	153	246
384	153	245
385	154	245
386	154	244
387	154	243
388	154	243
389	155	242
390	155	241
391	155	241
392	155	240
393	156	240
394	156	239
395	156	238
396	156	238
397	157	237
398	157	237
399	157	236
400	157	235
401	158	235
402	158	234
403	158	233
404	158	233
405	158	232
406	159	231
407	159	231
408	159	230
409	159	230
410	160	229
411	160	228
412	160	228
413	160	227
414	161	226
415	161	226
416	161	225
417	161	225
418	161	224
419	162	224
420	162	223
421	162	222
422	162	222
423	163	221
424	163	221
425	163	220
426	163	220
427	164	219
428	164	218
429	164	218
430	164	217
431	165	217
432	165	216
433	165	216
434	165	215
435	166	214
436	166	214
437	166	213
438	166	213
439	166	212
440	167	212
441	167	211
442	167	210
443	168	210
444	168	209
445	168	209
446	168	208
447	168	208
448	169	207
449	169	207
450	169	206
451	169	205
452	170	205
453	170	204
454	170	204
455	170	203
456	171	203
457	171	202
458	171	202
459	171	201
460	172	201
461	172	200
462	172	200
463	172	199
464	173	199
465	173	198
466	173	198
467	173	197
468	173	196
469	174	196
470	174	195
471	174	195
472	175	194
473	175	194
474	175	193
475	175	193
476	175	192
477	176	192
478	176	191
479	176	191
480	176	190
481	177	190
482	177	189
483	177	189
484	177	188
485	178	188
486	178	187
487	178	187
488	178	186
489	179	186
490	179	185
491	179	185
492	179	184
493	179	184
494	180	183
495	180	183
496	180	182
497	180	182
498	181	181
499	181	181
500	181	180
